participant_id,1,c_value_reward,x_value_choice_chosen,x_value_choice_chosen c_value_reward,x_value_choice_chosen^2
0.0,0.31964637515193317,0.0,0.0,0.0,0.0
1.0,0.2127936298550881,0.0,0.4211193992134379,-0.11196387967867609,0.0
2.0,0.44493840720679184,0.0,0.0,0.0,0.0
3.0,0.36803089368128417,-0.10362405410870575,-0.5021266541003285,0.17148131985822246,1.3168137410705845
4.0,0.3272184746747368,0.0,0.0,0.0,0.0
5.0,0.1797756682971895,-0.0767221244547884,0.5355843946467369,0.09712504571463222,0.0
6.0,0.17824206464931763,-0.025712461571787082,0.5445021420213589,0.0,0.0
7.0,0.31065245119037876,0.0,-0.012382856165016783,0.0,0.0
8.0,0.11337618841470051,0.1696800251359833,0.6311556325645646,-0.5351677784373456,0.0
9.0,0.052847261531418416,0.0,0.8828746293215993,0.0,0.0
10.0,0.2892004253153245,0.0,0.09115774203536622,0.0,0.0
11.0,0.38845484168229055,-0.06536481631175356,0.1211704521731011,0.12260607177117418,0.0
12.0,0.10814435121732305,0.0,0.6677518596527621,0.0,0.0
13.0,0.2935956451773692,0.0,0.336792657823688,0.0,0.0
14.0,0.34962342163981247,-0.028238967368203326,0.14812507658264348,0.0,0.0
15.0,0.30069352477436967,-0.02797595283580925,0.05021589909445724,0.0,0.0
