participant_id,alpha_reward,alpha_penalty,beta_reward,beta_choice,forget_rate,bic,log_likelihood,params_x_learning_rate_reward,x_learning_rate_reward_1,x_learning_rate_reward_x_learning_rate_reward,x_learning_rate_reward_c_value_choice,x_learning_rate_reward_c_value_choice^2,params_x_value_reward_not_chosen,x_value_reward_not_chosen_1,x_value_reward_not_chosen_x_value_reward_not_chosen,params_x_value_choice_chosen,x_value_choice_chosen_1,params_x_value_choice_not_chosen,x_value_choice_not_chosen_1,x_value_choice_not_chosen_x_value_choice_not_chosen,x_value_choice_not_chosen_c_value_reward,total_params,embedding_0,embedding_1,embedding_2,embedding_3,embedding_4,embedding_5,embedding_6,embedding_7,embedding_8,derived_beta_reward,derived_beta_choice,x_value_choice_chosen_x_value_choice_chosen,x_value_choice_chosen_x_value_choice_chosen c_value_reward,x_value_choice_not_chosen_x_value_choice_not_chosen c_value_reward,x_value_reward_not_chosen_x_value_reward_not_chosen c_value_choice,x_value_choice_chosen_c_value_reward,x_value_choice_chosen_x_value_choice_chosen^2,x_learning_rate_reward_x_learning_rate_reward c_value_choice,x_value_reward_not_chosen_c_value_choice,x_value_reward_not_chosen_c_value_choice^2,switch_rate,stay_after_reward,perseveration,avg_reward
0.0,0.1239792771160561,0.1239792771160561,0.0,0.2892156603868736,0.8774032044188703,1.4607582382287756,-0.677953804327193,4,0.5962915826116111,0.22213739518940237,0.9171962132490269,-2.480991688546339,2,-1.0174219617890885,0.8977972832364052,1,0.31964637515193317,3,0.3283117878175643,0.3237905774997719,-0.0035318556116128996,10,1.9141295,1.4663647,0.8859928,-2.116161,0.6647616,-1.2200732,-0.05739263,-1.5877216,-0.72676265,0.15255670249462128,0.0,,,,,,,,,,0.40852130325814534,0.6170212765957447,0.5914786967418546,0.47
1.0,0.3136529873720262,0.3136529873720262,3.0446880938996523,0.799265836888216,0.0,1.5000276433087103,-0.6900991761832753,2,0.5926993631078423,0.2113393894087765,,,2,-0.3776606593738725,0.991480560792783,3,0.2127936298550881,4,0.38219728562503186,0.11044970837084553,0.09044252027455771,11,1.6147033,-0.35960832,-1.434814,-0.6951065,-0.5929362,-0.73531485,0.7311085,1.6073337,-0.18959449,0.0,0.07396736741065979,0.4211193992134379,-0.11196387967867609,-0.19033788071653204,,,,,,,0.23558897243107768,0.84375,0.7644110275689223,0.56
2.0,0.9060155400257682,0.9060155400257682,1.858994965869013,0.2156455829360405,0.0,1.382828625217091,-0.6914143126085455,2,0.6435440959859403,0.2229625316895992,,,2,-0.4891856145668276,0.867004007931801,1,0.44493840720679184,1,0.35227511600533024,,,6,-0.4624631,0.40466416,-0.7231731,1.0433469,0.7658403,1.6456392,1.244149,1.2614471,0.57551926,0.0,0.0,,,,,,,,,,0.3684210526315789,0.7634408602150538,0.631578947368421,0.4675
3.0,0.5011689904768759,0.1158142792708436,5.772283812044658,0.7822445933935027,0.2856846792528487,1.0990949362327038,-0.4446968385419622,2,0.6033381332226249,0.21788425953282356,,,3,-1.0080748718867658,1.003798068079543,5,0.36803089368128417,2,0.20567633021192439,,,12,1.3065515,-0.20346092,0.07125897,-0.22206272,0.88937384,-1.4140779,-0.84175724,-0.25227144,1.7020146,0.33490806818008423,0.17009305953979492,-0.5021266541003285,0.17148131985822246,-0.059748696757034016,-0.3034644973211412,-0.10362405410870575,1.3168137410705845,,,,0.17543859649122806,0.9427083333333334,0.8245614035087719,0.4825
4.0,0.7482994798499976,0.2847538263978102,3.4820231155036225,0.6779755015633369,0.6866304144214674,1.382828625217091,-0.6914143126085455,5,1.3542701408446662,0.43820860093068403,-4.421307555612532,6.612967278083804,4,-0.3413393951165053,0.567251316782186,1,0.3272184746747368,2,0.44126520438065386,,,12,0.2839866,-0.38959673,0.27083227,-0.7396336,-1.5225924,0.9606677,-0.8448219,-0.5661957,-1.2391759,0.0,0.0,,,-0.0023755709685633454,0.7328466564183849,,,-0.677675678387105,-0.6687379895309223,,0.18295739348370926,0.8936170212765957,0.8170426065162907,0.59
5.0,0.2802860506327619,0.7675429595580606,3.645638054428328,0.0,0.0,1.5137939035026977,-0.696982306280269,2,0.5898085841547513,0.212158723097685,,,4,-0.2413285236915444,0.9407443597368554,4,0.1797756682971895,3,0.1783120736759244,0.30752988414059756,,13,2.0900047,-1.2009035,-0.4669669,-0.882373,-0.6897787,0.11008652,0.49285322,-0.4595601,1.2170544,0.0,0.28442278504371643,0.5355843946467369,0.09712504571463222,-0.06383312636514704,0.09878672989611925,-0.0767221244547884,,,-1.0751062935974716,,0.3383458646616541,0.7881040892193308,0.6616541353383458,0.675
6.0,0.7253979614361408,0.7253979614361408,5.201596575968612,0.2285670624154412,0.0,1.382828625217091,-0.6914143126085455,2,0.6216079617995333,0.22165569985436956,,,2,-0.563620951049856,0.7896691104731984,3,0.17824206464931763,2,0.19309914327878436,0.44526035372614764,,9,-0.7790467,-0.7010362,-1.3682699,0.0031854217,-0.029299822,0.6406623,-0.06324825,1.8096107,-1.1495638,0.0,0.0,0.5445021420213589,,,,-0.025712461571787082,,,,,0.19047619047619047,0.9529914529914529,0.8095238095238095,0.5875
7.0,0.4410790385258807,0.4410790385258807,5.658958258191793,0.9010558645951277,0.2855593796621932,1.2295712300496784,-0.5473816388698745,2,0.6791796813795334,0.19556382411221052,,,2,-0.8805367627841694,0.7830813059467777,2,0.31065245119037876,1,0.23039310162130291,,,7,1.3488823,1.4115591,0.822618,2.1845546,0.48988965,0.38037992,-0.2310952,-1.0862391,1.2438118,0.7083907723426819,0.16236701607704163,-0.012382856165016783,,,,,,,,,0.2506265664160401,0.9333333333333333,0.7493734335839599,0.5275
8.0,0.2166786744816787,0.8105765045094478,1.852285044691391,0.3043592836155058,0.5892743642163789,1.4610634275626,-0.6781063989941052,2,0.6167163523517346,,,,4,-0.5015378460757564,0.6929342290607337,4,0.11337618841470051,3,0.12370038260877049,0.3892465621003698,,13,-0.13740566,0.48885056,0.022606535,0.39137354,0.54006124,-0.6067742,-2.1714125,-0.7158455,-0.004655149,0.19809211790561676,0.0,0.6311556325645646,-0.5351677784373456,-0.10939225155676424,,0.1696800251359833,,0.6832143047465719,-2.1692740084942432,4.655349660076787,0.44611528822055135,0.7162790697674418,0.5538847117794486,0.54
9.0,0.2813574153978858,0.0725325794596961,3.722285900063985,0.0,0.2274656147649558,1.382828625217091,-0.6914143126085455,2,0.6147436190665984,0.21947341574204202,,,2,-0.6106422299142585,0.745253387516684,2,0.052847261531418416,3,0.46342007759962434,,0.2390208273868732,9,-0.30384177,-1.3057029,-0.5504257,0.5012487,0.48968458,1.1062291,0.017788265,0.70899487,-0.4466523,0.0,0.0,0.8828746293215993,,-0.5137565763007029,,,,,,,0.37844611528822053,0.6932270916334662,0.6215538847117794,0.63
10.0,0.2896328264482436,0.614704705020623,2.505444186502202,0.8114515310531243,0.6829993297867362,1.382828625217091,-0.6914143126085455,4,-0.3094462988382422,0.18351450647467127,6.483800169649163,-11.26274673642653,2,-0.7116802568787577,0.6739047154064408,2,0.2892004253153245,1,0.5162380252877484,,,9,-1.0144962,0.56895226,-1.6873131,-0.7928072,1.2997264,0.44860688,-2.4745567,0.45306796,0.7496275,0.0,0.0,0.09115774203536622,,,,,,,,,0.3508771929824561,0.7793427230046949,0.6491228070175439,0.535
11.0,0.6206223668404378,0.8911705239156655,5.121522623184706,0.3143170371970759,0.0,1.2433000738814532,-0.5317780687341069,2,0.6688978797045569,0.20589361276113738,,,3,1.4266012407086062,0.950128636088269,4,0.38845484168229055,1,0.3307033463934204,,,10,-0.00180741,0.6716635,0.614913,1.0986747,-0.4184213,-0.21696267,0.7838137,0.3730377,0.15318464,0.18784590065479279,0.03789964318275452,0.1211704521731011,0.12260607177117418,,,-0.06536481631175356,,,-7.050633688229437,,0.23057644110275688,0.9852216748768473,0.7694235588972431,0.5075
12.0,0.9924198351509944,0.2037988948581375,1.5829019617172575,0.3090345180253958,0.326759482199903,1.382828625217091,-0.6914143126085455,2,0.6800394897395503,0.19834008613919957,,,3,-0.9880768318706251,0.819856863122301,2,0.10814435121732305,2,0.12850692625334012,0.5916295612863732,,9,0.23004027,1.238193,0.0009396472,-0.26871598,-1.4220506,-0.06775056,-0.5642069,0.442125,0.6912211,0.0,0.0,0.6677518596527621,,,0.43885758451053375,,,,,,0.3057644110275689,0.75,0.6942355889724311,0.5225
13.0,0.2352509485992314,0.843091052259046,0.0,0.3899479037184596,0.0,1.4576227715779009,-0.6913647323695256,2,0.645060030191874,0.21441604842100878,,,5,-9.3565552022924,0.8944047631898329,2,0.2935956451773692,2,0.06332195149990007,0.8539019838778619,,11,0.060861737,-0.35755518,0.49358115,0.019871393,0.2078863,0.098539844,0.7888746,1.0600271,0.3055578,0.0,0.1506763994693756,0.336792657823688,,,0.25582346255425037,,,,40.98373541732761,-46.9401812140349,0.3583959899749373,0.611764705882353,0.6416040100250626,0.4275
14.0,0.0901628058177769,0.37164617164448,0.0,0.959714660945166,0.6116026488635999,1.3912810407509244,-0.6207472135366124,2,0.7062839113113303,0.17626226176488957,,,2,-1.0350027315849484,1.0019851213903583,3,0.34962342163981247,1,0.27029816638969345,,,8,0.72246015,0.4048942,1.9291761,1.0110823,-1.4061025,-1.1289743,-0.10470597,1.6042087,0.6535574,0.14347927272319794,0.3800881803035736,0.14812507658264348,,,,-0.028238967368203326,,,,,0.2907268170426065,0.6823529411764706,0.7092731829573935,0.425
15.0,0.8792830804945659,0.8792830804945659,5.660571503687262,0.0,0.0,1.382828625217091,-0.6914143126085455,2,0.6302595933955205,0.22874033119454373,,,2,-0.9029822707033905,0.9591552020403392,3,0.30069352477436967,1,0.44725598455988824,,,8,0.5410606,1.1065354,-0.008002743,-1.7708222,0.890469,-0.3404332,0.9981178,-0.6516975,0.6018641,0.0,0.0,0.05021589909445724,,,,-0.02797595283580925,,,,,0.16791979949874686,1.0,0.8320802005012531,0.6375
