participant_id,1,c_value_reward,x_value_choice_not_chosen,x_value_choice_not_chosen c_value_reward
0.0,0.3283117878175643,-0.0035318556116128996,0.3237905774997719,0.0
1.0,0.38219728562503186,0.09044252027455771,0.11044970837084553,-0.19033788071653204
2.0,0.35227511600533024,0.0,0.0,0.0
3.0,0.20567633021192439,0.0,0.0,-0.059748696757034016
4.0,0.44126520438065386,0.0,0.0,-0.0023755709685633454
5.0,0.1783120736759244,0.0,0.30752988414059756,-0.06383312636514704
6.0,0.19309914327878436,0.0,0.44526035372614764,0.0
7.0,0.23039310162130291,0.0,0.0,0.0
8.0,0.12370038260877049,0.0,0.3892465621003698,-0.10939225155676424
9.0,0.46342007759962434,0.2390208273868732,0.0,-0.5137565763007029
10.0,0.5162380252877484,0.0,0.0,0.0
11.0,0.3307033463934204,0.0,0.0,0.0
12.0,0.12850692625334012,0.0,0.5916295612863732,0.0
13.0,0.06332195149990007,0.0,0.8539019838778619,0.0
14.0,0.27029816638969345,0.0,0.0,0.0
15.0,0.44725598455988824,0.0,0.0,0.0
