,Participant,Trials,Baseline,RNN,SPICE
144,144.0,104.0,122.86,53.95,0.0
145,145.0,104.0,120.89,65.61,0.0
146,146.0,104.0,118.31,53.07,0.0
147,147.0,104.0,121.21,82.02,0.0
148,148.0,104.0,129.11,127.34,0.0
149,149.0,104.0,118.4,71.66,0.0
150,150.0,104.0,119.77,65.98,0.0
151,151.0,104.0,117.1,18.94,0.0
152,152.0,104.0,129.13,109.25,0.0
153,153.0,104.0,126.77,77.09,0.0
154,154.0,104.0,122.7,113.05,0.0
155,155.0,104.0,119.74,53.43,0.0
156,156.0,104.0,119.96,47.64,0.0
157,157.0,104.0,122.62,31.78,0.0
158,158.0,112.0,136.47,87.84,0.0
159,159.0,104.0,120.2,31.55,0.0
160,160.0,104.0,124.75,73.32,0.0
161,161.0,104.0,122.81,67.23,0.0
162,162.0,104.0,122.69,66.86,0.0
163,163.0,104.0,121.02,97.58,0.0
164,164.0,104.0,123.73,80.73,0.0
165,165.0,104.0,128.26,67.11,0.0
166,166.0,104.0,128.27,71.0,0.0
167,167.0,104.0,116.99,16.7,0.0
168,168.0,104.0,127.14,60.85,0.0
169,169.0,104.0,119.48,77.96,0.0
170,170.0,104.0,120.57,45.02,0.0
171,171.0,104.0,122.18,71.14,0.0
172,172.0,104.0,123.33,66.69,0.0
173,173.0,104.0,124.82,76.84,0.0
174,174.0,104.0,138.95,131.55,0.0
175,175.0,104.0,119.92,37.03,0.0
176,176.0,104.0,113.31,44.13,0.0
177,177.0,104.0,115.94,21.0,0.0
178,178.0,104.0,114.41,77.28,0.0
179,179.0,104.0,129.16,128.77,0.0
180,180.0,104.0,118.34,61.02,0.0
181,181.0,103.0,121.35,50.78,0.0
182,182.0,104.0,123.53,69.37,0.0
183,183.0,104.0,118.85,24.49,0.0
184,184.0,104.0,116.34,87.93,0.0
185,185.0,104.0,116.03,72.44,0.0
186,186.0,104.0,128.0,94.67,0.0
187,187.0,104.0,130.19,101.33,0.0
188,188.0,104.0,129.67,107.38,0.0
189,189.0,104.0,124.29,40.13,0.0
190,190.0,104.0,125.52,91.15,0.0
191,191.0,104.0,123.55,45.11,0.0
192,192.0,104.0,118.88,28.51,0.0
193,193.0,104.0,121.35,52.16,0.0
194,194.0,104.0,128.74,103.6,0.0
195,195.0,104.0,113.88,60.26,0.0
196,196.0,104.0,130.84,88.14,0.0
197,197.0,104.0,118.72,53.27,0.0
198,198.0,104.0,126.56,72.64,0.0
199,199.0,104.0,127.74,50.97,0.0
200,200.0,104.0,124.82,108.14,0.0
201,201.0,104.0,119.77,53.18,0.0
202,202.0,104.0,115.35,47.21,0.0
203,203.0,104.0,115.01,78.26,0.0
204,204.0,104.0,120.59,76.75,0.0
205,205.0,104.0,127.53,116.66,0.0
206,206.0,104.0,114.01,30.03,0.0
207,207.0,103.0,122.76,92.07,0.0
208,208.0,104.0,127.48,118.85,0.0
209,209.0,104.0,114.63,62.13,0.0
210,210.0,104.0,116.49,56.87,0.0
211,211.0,104.0,118.42,51.78,0.0
212,212.0,104.0,126.4,75.85,0.0
213,213.0,104.0,127.6,57.06,0.0
214,214.0,104.0,123.84,113.35,0.0
215,215.0,104.0,122.13,83.24,0.0
216,216.0,104.0,124.59,98.04,0.0
217,217.0,104.0,113.43,66.37,0.0
218,218.0,104.0,125.25,81.12,0.0
219,219.0,104.0,121.08,19.86,0.0
220,220.0,104.0,132.11,109.06,0.0
221,221.0,104.0,113.86,29.61,0.0
222,222.0,104.0,117.24,72.72,0.0
223,223.0,104.0,132.54,136.74,0.0
224,224.0,104.0,125.27,80.84,0.0
225,225.0,104.0,119.87,47.69,0.0
226,226.0,104.0,125.09,67.04,0.0
227,227.0,104.0,123.75,78.16,0.0
228,228.0,104.0,126.26,86.16,0.0
229,229.0,104.0,118.83,53.52,0.0
230,230.0,104.0,113.96,65.13,0.0
231,231.0,104.0,118.79,58.05,0.0
232,232.0,104.0,111.04,29.07,0.0
