participant_id,1,c_value_choice,c_value_choice^2,x_learning_rate_reward,x_learning_rate_reward c_value_choice
0.0,0.5962915826116111,0.9171962132490269,-2.480991688546339,0.22213739518940237,0.0
1.0,0.5926993631078423,0.0,0.0,0.2113393894087765,0.0
2.0,0.6435440959859403,0.0,0.0,0.2229625316895992,0.0
3.0,0.6033381332226249,0.0,0.0,0.21788425953282356,0.0
4.0,1.3542701408446662,-4.421307555612532,6.612967278083804,0.43820860093068403,-0.677675678387105
5.0,0.5898085841547513,0.0,0.0,0.212158723097685,0.0
6.0,0.6216079617995333,0.0,0.0,0.22165569985436956,0.0
7.0,0.6791796813795334,0.0,0.0,0.19556382411221052,0.0
8.0,0.6167163523517346,0.0,0.0,0.0,0.6832143047465719
9.0,0.6147436190665984,0.0,0.0,0.21947341574204202,0.0
10.0,-0.3094462988382422,6.483800169649163,-11.26274673642653,0.18351450647467127,0.0
11.0,0.6688978797045569,0.0,0.0,0.20589361276113738,0.0
12.0,0.6800394897395503,0.0,0.0,0.19834008613919957,0.0
13.0,0.645060030191874,0.0,0.0,0.21441604842100878,0.0
14.0,0.7062839113113303,0.0,0.0,0.17626226176488957,0.0
15.0,0.6302595933955205,0.0,0.0,0.22874033119454373,0.0
