participant_id,1,c_value_choice,c_value_choice^2,x_value_reward_not_chosen,x_value_reward_not_chosen c_value_choice
0.0,-1.0174219617890885,0.0,0.0,0.8977972832364052,0.0
1.0,-0.3776606593738725,0.0,0.0,0.991480560792783,0.0
2.0,-0.4891856145668276,0.0,0.0,0.867004007931801,0.0
3.0,-1.0080748718867658,0.0,0.0,1.003798068079543,-0.3034644973211412
4.0,-0.3413393951165053,-0.6687379895309223,0.0,0.567251316782186,0.7328466564183849
5.0,-0.2413285236915444,-1.0751062935974716,0.0,0.9407443597368554,0.09878672989611925
6.0,-0.563620951049856,0.0,0.0,0.7896691104731984,0.0
7.0,-0.8805367627841694,0.0,0.0,0.7830813059467777,0.0
8.0,-0.5015378460757564,-2.1692740084942432,4.655349660076787,0.6929342290607337,0.0
9.0,-0.6106422299142585,0.0,0.0,0.745253387516684,0.0
10.0,-0.7116802568787577,0.0,0.0,0.6739047154064408,0.0
11.0,1.4266012407086062,-7.050633688229437,0.0,0.950128636088269,0.0
12.0,-0.9880768318706251,0.0,0.0,0.819856863122301,0.43885758451053375
13.0,-9.3565552022924,40.98373541732761,-46.9401812140349,0.8944047631898329,0.25582346255425037
14.0,-1.0350027315849484,0.0,0.0,1.0019851213903583,0.0
15.0,-0.9029822707033905,0.0,0.0,0.9591552020403392,0.0
