,mean,std,min,max,present_in
1,0.26482710152870803,0.11169355080438759,0.052847261531418416,0.44493840720679184,100.0
c_value_reward,-0.009872396969691503,0.057948192641782456,-0.10362405410870575,0.1696800251359833,43.75
x_value_choice_chosen,0.24474627342902316,0.3501570166191187,-0.5021266541003285,0.8828746293215993,81.25
x_value_choice_chosen c_value_reward,-0.015994951298249554,0.1524726013328901,-0.5351677784373456,0.17148131985822246,31.25
x_value_choice_chosen^2,0.08230085881691153,0.329203435267646,0.0,1.3168137410705845,6.25
